2022-03-17 17:09:46,369 root         INFO     starting...
2022-03-17 17:09:46,370 root         DEBUG    args are : Namespace(branches=['develop', 'jedwards/pio_update,', 'jedwards/pio_update2'], log='info', number=30, repo_path=PosixPath('/home/rlong/Sandbox/esmf-test-artifacts'))
2022-03-17 17:09:46,374 root         DEBUG    pulling artifacts
2022-03-17 17:09:46,682 root         DEBUG    cloning summaries
2022-03-17 17:09:46,682 root         DEBUG    cloning git@github.com:ryanlong1004/esmf-test-summary.git into /tmp/esmf_branch_summary_space
2022-03-17 17:09:48,178 root         DEBUG    pulling summaries
2022-03-17 17:09:48,768 root         INFO     itterating over 3 branches in 12 machines over 30 most recent commits
2022-03-17 17:09:48,768 root         INFO     generating summaries for develop [acorn]
2022-03-17 17:09:48,768 root         DEBUG    checking out acorn
2022-03-17 17:09:49,677 root         DEBUG    pulling from acorn
2022-03-17 17:09:50,009 root         INFO     processing hash [0: v8.3.0b09-3-ge20ebbf]
2022-03-17 17:09:50,010 root         DEBUG    generating summary for [v8.3.0b09-3-ge20ebbf]
2022-03-17 17:09:50,010 root         DEBUG    fetching matching logs to determine build pass/fail
2022-03-17 17:09:50,121 root         DEBUG    matching logs: 0
2022-03-17 17:09:50,121 root         DEBUG    fetching matching summaries to extract test results
2022-03-17 17:09:50,136 root         DEBUG    matching summaries: 0
2022-03-17 17:09:50,317 root         ERROR    could not verify matches, grep returned 18 ...
[['./develop/acorn/gfortran/10.3.0/O/mpi/8.1.7/summary.dat:5:git hash = v8.3.0b09-3-ge20ebbf', './develop/acorn/gfortran/10.3.0/g/mpi/8.1.7/summary.dat:5:git hash = v8.3.0b09-3-ge20ebbf', './develop/acorn/intel/2019.3/O/mpi/8.1.7/summary.dat:5:git hash = v8.3.0b09-3-ge20ebbf', './develop/acorn/intel/2019.3/g/mpi/8.1.7/summary.dat:5:git hash = v8.3.0b09-3-ge20ebbf', './develop/acorn/intel/19.1.3/O/mpi/8.1.7/summary.dat:5:git hash = v8.3.0b09-3-ge20ebbf', './develop/acorn/intel/19.1.3/g/mpi/8.1.7/summary.dat:5:git hash = v8.3.0b09-3-ge20ebbf', './output.txt:1323:v8.3.0b09-3-ge20ebbf', './output.txt:1333:v8.3.0b09-3-ge20ebbf', './output.txt:1343:v8.3.0b09-3-ge20ebbf', './output.txt:1353:v8.3.0b09-3-ge20ebbf', './output.txt:1363:v8.3.0b09-3-ge20ebbf']]
2022-03-17 17:09:50,317 root         DEBUG    finished reading logs
2022-03-17 17:09:50,317 root         INFO     missing summary data for v8.3.0b09-3-ge20ebbf, develop [acorn]
2022-03-17 17:09:50,318 root         INFO     processing hash [1: v8.3.0b09-1-g1bcf580]
2022-03-17 17:09:50,318 root         DEBUG    generating summary for [v8.3.0b09-1-g1bcf580]
2022-03-17 17:09:50,318 root         DEBUG    fetching matching logs to determine build pass/fail
2022-03-17 17:09:50,409 root         DEBUG    matching logs: 0
2022-03-17 17:09:50,409 root         DEBUG    fetching matching summaries to extract test results
2022-03-17 17:09:50,424 root         DEBUG    matching summaries: 0
2022-03-17 17:09:50,585 root         DEBUG    finished reading logs
2022-03-17 17:09:50,585 root         INFO     missing summary data for v8.3.0b09-1-g1bcf580, develop [acorn]
2022-03-17 17:09:50,586 root         INFO     processing hash [2: v8.3.0b09]
2022-03-17 17:09:50,586 root         DEBUG    generating summary for [v8.3.0b09]
2022-03-17 17:09:50,586 root         DEBUG    fetching matching logs to determine build pass/fail
2022-03-17 17:09:50,670 root         DEBUG    matching logs: 0
2022-03-17 17:09:50,670 root         DEBUG    fetching matching summaries to extract test results
2022-03-17 17:09:50,685 root         DEBUG    matching summaries: 0
2022-03-17 17:09:51,095 root         ERROR    could not verify matches, grep returned 23661 ...
